RegionID,Week,Rent_Index
394692,2/28/2022,1557.561871
394692,3/31/2022,1564.565342
394692,4/30/2022,1579.228763
394692,5/31/2022,1592.853745
394692,6/30/2022,1607.514433
394692,7/31/2022,1619.758497
394692,8/31/2022,1626.961921
394692,9/30/2022,1627.886609
394458,3/31/2015,1101.144862
394458,4/30/2015,1110.96241
394458,5/31/2015,1123.973053
394458,6/30/2015,1138.638304
394458,7/31/2015,1146.8155
394458,8/31/2015,1153.865211
394458,9/30/2015,1154.119165
394458,10/31/2015,1152.029315
394458,11/30/2015,1149.833632
394458,12/31/2015,1153.184748
394458,1/31/2016,1156.955796
394458,2/29/2016,1164.229386
394458,3/31/2016,1172.808305
394458,4/30/2016,1180.026308
394458,5/31/2016,1185.054176
394458,6/30/2016,1190.430043
394458,7/31/2016,1198.687507
394458,8/31/2016,1205.331672
394458,9/30/2016,1207.75454
394458,10/31/2016,1210.152687
394458,11/30/2016,1209.336201
394458,12/31/2016,1205.757719
394458,1/31/2017,1208.660479
394458,2/28/2017,1212.67567
394458,3/31/2017,1224.441421
394458,4/30/2017,1234.416426
394458,5/31/2017,1247.725551
394458,6/30/2017,1259.075367
394458,7/31/2017,1266.085729
394458,8/31/2017,1269.222525
394458,9/30/2017,1269.672101
394458,10/31/2017,1266.894392
394458,11/30/2017,1267.266602
394458,12/31/2017,1264.510503
394458,1/31/2018,1265.777604
394458,2/28/2018,1268.515516
394458,3/31/2018,1277.69668
394458,4/30/2018,1288.861836
394458,5/31/2018,1300.588483
394458,6/30/2018,1312.187947
394458,7/31/2018,1318.845684
394458,8/31/2018,1323.114152
394458,9/30/2018,1322.839533
394458,10/31/2018,1321.03762
394458,11/30/2018,1324.468147
394458,12/31/2018,1331.774695
394458,1/31/2019,1337.428971
394458,2/28/2019,1342.326585
394458,3/31/2019,1347.776549
394458,4/30/2019,1360.242321
394458,5/31/2019,1372.884695
394458,6/30/2019,1382.507336
394458,7/31/2019,1389.825266
394458,8/31/2019,1390.56637
394458,9/30/2019,1393.094544
394458,10/31/2019,1395.336901
394458,11/30/2019,1393.599859
