RegionID,Week,Med_House_Price
394355,4/30/2022,561535
394355,5/31/2022,584568
394355,6/30/2022,594188
394355,7/31/2022,589667
394355,8/31/2022,573333
394355,9/30/2022,556667
394902,3/31/2018,327633
394902,4/30/2018,332933
394902,5/31/2018,334933
394902,6/30/2018,336600
394902,7/31/2018,333267
394902,8/31/2018,328267
394902,9/30/2018,324933
394902,10/31/2018,322467
394902,11/30/2018,322466
394902,12/31/2018,320800
394902,1/31/2019,318783
394902,2/28/2019,319450
394902,3/31/2019,321209
394902,4/30/2019,327392
394902,5/31/2019,333059
394902,6/30/2019,337967
394902,7/31/2019,337933
394902,8/31/2019,334900
394902,9/30/2019,331433
394902,10/31/2019,329767
394902,11/30/2019,328133
394902,12/31/2019,326633
394902,1/31/2020,323333
394902,2/29/2020,324000
394902,3/31/2020,327000
394902,4/30/2020,333500
394902,5/31/2020,339500
394902,6/30/2020,344833
394902,7/31/2020,348333
394902,8/31/2020,351633
394902,9/30/2020,351633
394902,10/31/2020,351633
394902,11/30/2020,349317
394902,12/31/2020,346650
394902,1/31/2021,344650
394902,2/28/2021,348633
394902,3/31/2021,357633
394902,4/30/2021,369600
394902,5/31/2021,381267
394902,6/30/2021,391597
394902,7/31/2021,399963
394902,8/31/2021,401661
394902,9/30/2021,404964
394902,10/31/2021,409631
394902,11/30/2021,416300
394902,12/31/2021,418000
394902,1/31/2022,419817
394902,2/28/2022,423150
394902,3/31/2022,436483
394902,4/30/2022,458300
394902,5/31/2022,479967
394902,6/30/2022,494966
394902,7/31/2022,498300
394902,8/31/2022,499633
394902,9/30/2022,499283
