RegionID,Week,Inventory_Sales_Count
394692,3/31/2011,3691
394692,4/30/2011,3852
394692,5/31/2011,4486
394692,6/30/2011,4958
394692,7/31/2011,4424
394692,8/31/2011,4681
394692,9/30/2011,3569
394692,10/31/2011,3227
394692,11/30/2011,2942
394692,12/31/2011,3529
394692,1/31/2012,2664
394692,2/29/2012,2805
394692,3/31/2012,3944
394692,4/30/2012,3923
394692,5/31/2012,5072
394692,6/30/2012,5097
394692,7/31/2012,5445
394692,8/31/2012,4532
394692,9/30/2012,3391
394692,10/31/2012,4322
394692,11/30/2012,4413
394692,12/31/2012,3802
394692,1/31/2013,3482
394692,2/28/2013,3662
394692,3/31/2013,4630
394692,4/30/2013,5433
394692,5/31/2013,6248
394692,6/30/2013,5867
394692,7/31/2013,6668
394692,8/31/2013,6623
394692,9/30/2013,5483
394692,10/31/2013,5148
394692,11/30/2013,3980
394692,12/31/2013,4539
394692,1/31/2014,3254
394692,2/28/2014,3086
394692,3/31/2014,2220
394692,4/30/2014,2480
394692,5/31/2014,2764
394692,6/30/2014,3158
394692,7/31/2014,6760
394692,8/31/2014,5814
394692,9/30/2014,6406
394692,10/31/2014,5903
394692,11/30/2014,4545
394692,12/31/2014,5359
394692,1/31/2015,3811
394692,2/28/2015,3818
394692,3/31/2015,5300
394692,4/30/2015,5269
394692,5/31/2015,5715
394692,6/30/2015,6802
394692,7/31/2015,6922
394692,8/31/2015,5360
394692,9/30/2015,5977
394692,10/31/2015,5337
394692,11/30/2015,3982
394692,12/31/2015,5430
394692,1/31/2016,3651
394692,2/29/2016,4035
394692,3/31/2016,5726
394692,4/30/2016,5563
394692,5/31/2016,6493
394692,6/30/2016,7178
394692,7/31/2016,6462
394692,8/31/2016,7312
394692,9/30/2016,5776
394692,10/31/2016,5196
394692,11/30/2016,5029
394692,12/31/2016,5509
394692,1/31/2017,3889
394692,2/28/2017,4385
394692,3/31/2017,6120
394692,4/30/2017,5711
394692,5/31/2017,7048
394692,6/30/2017,7408
394692,7/31/2017,6674
394692,8/31/2017,5837
394692,9/30/2017,5750
394692,10/31/2017,5596
394692,11/30/2017,5254
394692,12/31/2017,5643
394692,1/31/2018,4244
394692,2/28/2018,4637
394692,3/31/2018,5686
394692,4/30/2018,6225
394692,5/31/2018,7246
394692,6/30/2018,7344
394692,7/31/2018,7245
394692,8/31/2018,7232
394692,9/30/2018,5605
394692,10/31/2018,5977
394692,11/30/2018,4971
394692,12/31/2018,5273
394692,1/31/2019,3626
394692,2/28/2019,4269
394692,3/31/2019,5810
394692,4/30/2019,6354
394692,5/31/2019,7515
394692,6/30/2019,6980
394692,7/31/2019,7756
394692,8/31/2019,7240
394692,9/30/2019,5926
394692,10/31/2019,6052
394692,11/30/2019,5192
394692,12/31/2019,5930
394692,1/31/2020,4023
394692,2/29/2020,4538
394692,3/31/2020,6185
394692,4/30/2020,4987
394692,5/31/2020,4899
394692,6/30/2020,7383
394692,7/31/2020,9061
394692,8/31/2020,7805
394692,9/30/2020,7712
394692,10/31/2020,7535
394692,11/30/2020,6774
394692,12/31/2020,8148
394692,1/31/2021,5260
394692,2/28/2021,4792
394692,3/31/2021,7675
394692,4/30/2021,7838
394692,5/31/2021,8178
394692,6/30/2021,9430
394692,7/31/2021,8982
394692,8/31/2021,8975
394692,9/30/2021,8226
394692,10/31/2021,7545
394692,11/30/2021,7128
394692,12/31/2021,7435
394692,1/31/2022,5502
394692,2/28/2022,5899
394692,3/31/2022,7919
394692,4/30/2022,7337
394692,5/31/2022,7938
394692,6/30/2022,8049
394692,7/31/2022,6901
394692,8/31/2022,6437
394692,9/30/2022,5400
394458,2/29/2008,1945
394458,3/31/2008,2138
394458,4/30/2008,2347
394458,5/31/2008,2472
394458,6/30/2008,2428
394458,7/31/2008,2344
394458,8/31/2008,2118
394458,9/30/2008,1870
394458,10/31/2008,1622
394458,11/30/2008,1150
394458,12/31/2008,1230
394458,1/31/2009,902
394458,2/28/2009,1061
394458,3/31/2009,1384
394458,4/30/2009,1343
394458,5/31/2009,1521
394458,6/30/2009,1816
394458,7/31/2009,2032
394458,8/31/2009,1705
394458,9/30/2009,1741
394458,10/31/2009,1934
394458,11/30/2009,1751
394458,12/31/2009,1596
394458,1/31/2010,993
394458,2/28/2010,1140
394458,3/31/2010,1625
394458,4/30/2010,1850
394458,5/31/2010,1945
394458,6/30/2010,2059
394458,7/31/2010,1493
394458,8/31/2010,1398
394458,9/30/2010,1365
394458,10/31/2010,1296
394458,11/30/2010,1164
394458,12/31/2010,1411
394458,1/31/2011,967
394458,2/28/2011,994
394458,3/31/2011,1514
394458,4/30/2011,1602
394458,5/31/2011,1690
394458,6/30/2011,1911
394458,7/31/2011,1669
394458,8/31/2011,1791
394458,9/30/2011,1701
394458,10/31/2011,1431
394458,11/30/2011,1311
394458,12/31/2011,1535
394458,1/31/2012,1149
394458,2/29/2012,1257
394458,3/31/2012,1728
394458,4/30/2012,1717
394458,5/31/2012,2157
394458,6/30/2012,2262
394458,7/31/2012,2199
394458,8/31/2012,2396
394458,9/30/2012,1835
394458,10/31/2012,2072
394458,11/30/2012,1977
394458,12/31/2012,1962
394458,1/31/2013,1513
394458,2/28/2013,1556
394458,3/31/2013,2139
394458,4/30/2013,2492
394458,5/31/2013,3015
394458,6/30/2013,2899
394458,7/31/2013,3042
394458,8/31/2013,2946
394458,9/30/2013,2243
394458,10/31/2013,2417
394458,11/30/2013,2137
394458,12/31/2013,2184
394458,1/31/2014,1728
394458,2/28/2014,1663
394458,3/31/2014,2179
394458,4/30/2014,2533
394458,5/31/2014,2859
394458,6/30/2014,3196
394458,7/31/2014,3238
394458,8/31/2014,3116
394458,9/30/2014,2689
394458,10/31/2014,2723
394458,11/30/2014,2141
394458,12/31/2014,2616
394458,1/31/2015,1835
394458,2/28/2015,1892
394458,3/31/2015,2795
394458,4/30/2015,3073
394458,5/31/2015,3404
394458,6/30/2015,3932
394458,7/31/2015,3983
394458,8/31/2015,3445
394458,9/30/2015,3239
394458,10/31/2015,2966
394458,11/30/2015,2207
394458,12/31/2015,2929
394458,1/31/2016,1962
394458,2/29/2016,2231
394458,3/31/2016,3196
394458,4/30/2016,3412
394458,5/31/2016,4053
394458,6/30/2016,4595
394458,7/31/2016,3852
394458,8/31/2016,4133
394458,9/30/2016,3770
394458,10/31/2016,3224
394458,11/30/2016,3066
394458,12/31/2016,3415
394458,1/31/2017,2454
394458,2/28/2017,2538
394458,3/31/2017,4110
394458,4/30/2017,3812
394458,5/31/2017,4434
394458,6/30/2017,4982
394458,7/31/2017,4509
394458,8/31/2017,4738
394458,9/30/2017,4029
394458,10/31/2017,3819
394458,11/30/2017,3615
394458,12/31/2017,3342
394458,1/31/2018,2630
394458,2/28/2018,2747
394458,3/31/2018,3778
394458,4/30/2018,3842
394458,5/31/2018,4405
394458,6/30/2018,4640
394458,7/31/2018,4253
394458,8/31/2018,4495
394458,9/30/2018,3410
394458,10/31/2018,3415
394458,11/30/2018,3015
394458,12/31/2018,2803
394458,1/31/2019,2298
394458,2/28/2019,2514
394458,3/31/2019,3368
394458,4/30/2019,3918
394458,5/31/2019,4518
394458,6/30/2019,4353
394458,7/31/2019,4339
394458,8/31/2019,4346
394458,9/30/2019,3541
394458,10/31/2019,3804
394458,11/30/2019,3133
394458,12/31/2019,3263
394458,1/31/2020,2537
394458,2/29/2020,2697
394458,3/31/2020,3617
394458,4/30/2020,3180
394458,5/31/2020,3177
394458,6/30/2020,4306
394458,7/31/2020,5077
394458,8/31/2020,4521
394458,9/30/2020,4501
394458,10/31/2020,4575
394458,11/30/2020,3917
394458,12/31/2020,4085
394458,1/31/2021,3061
394458,2/28/2021,3273
394458,3/31/2021,4667
394458,4/30/2021,4699
394458,5/31/2021,4699
394458,6/30/2021,5288
394458,7/31/2021,4745
394458,8/31/2021,4797
394458,9/30/2021,4491
394458,10/31/2021,4238
394458,11/30/2021,4003
394458,12/31/2021,4094
394458,1/31/2022,2948
394458,2/28/2022,3051
394458,3/31/2022,3882
394458,4/30/2022,3853
394458,5/31/2022,3911
394458,6/30/2022,4163
394458,7/31/2022,3311
394458,8/31/2022,3302
394458,9/30/2022,3000
394355,2/29/2008,1125
394355,3/31/2008,1476
394355,4/30/2008,1623
394355,5/31/2008,1811
394355,6/30/2008,1882
394355,7/31/2008,1906
394355,8/31/2008,1640
394355,9/30/2008,1365
394355,10/31/2008,1293
394355,11/30/2008,824
394355,12/31/2008,1034
394355,1/31/2009,613
394355,2/28/2009,865
394355,3/31/2009,1147
394355,4/30/2009,1262
394355,5/31/2009,1579
394355,6/30/2009,1712
394355,7/31/2009,1935
394355,8/31/2009,1629
394355,9/30/2009,1549
394355,10/31/2009,1520
394355,11/30/2009,1419
394355,12/31/2009,1295
394355,1/31/2010,736
394355,2/28/2010,886
394355,3/31/2010,1552
394355,4/30/2010,1768
394355,5/31/2010,1926
394355,6/30/2010,1952
394355,7/31/2010,1342
394355,8/31/2010,1411
394355,9/30/2010,1109
394355,10/31/2010,1099
394355,11/30/2010,1119
394355,12/31/2010,1274
394355,1/31/2011,870
394355,2/28/2011,904
394355,3/31/2011,1389
394355,4/30/2011,1474
394355,5/31/2011,1812
394355,6/30/2011,1923
394355,7/31/2011,1773
394355,8/31/2011,1917
394355,9/30/2011,1447
394355,10/31/2011,1270
394355,11/30/2011,1213
394355,12/31/2011,1385
394355,1/31/2012,951
394355,2/29/2012,1100
394355,3/31/2012,1592
394355,4/30/2012,1780
394355,5/31/2012,2233
394355,6/30/2012,2406
394355,7/31/2012,2283
394355,8/31/2012,2227
