RegionID,Week,Price_Cut
394355,3/31/2022,24300
394355,4/30/2022,20000
394355,5/31/2022,20000
394355,6/30/2022,20000
394355,7/31/2022,20000
394355,8/31/2022,19600
394355,9/30/2022,16000
394902,3/31/2018,10000
394902,4/30/2018,9900.5
394902,5/31/2018,10000
394902,6/30/2018,10000
394902,7/31/2018,10000
394902,8/31/2018,9500
394902,9/30/2018,9000
394902,10/31/2018,7000
394902,11/30/2018,5899
394902,12/31/2018,5900
394902,1/31/2019,5557.5
394902,2/28/2019,6000
394902,3/31/2019,7000
394902,4/30/2019,7900
394902,5/31/2019,9000
394902,6/30/2019,9100
394902,7/31/2019,8900
394902,8/31/2019,7000
394902,9/30/2019,7400
394902,10/31/2019,6100
394902,11/30/2019,6000
394902,12/31/2019,5000
394902,1/31/2020,6000
394902,2/29/2020,9900
394902,3/31/2020,9000
394902,4/30/2020,6095
394902,5/31/2020,8000
394902,6/30/2020,9100
394902,7/31/2020,10000
394902,8/31/2020,10000
394902,9/30/2020,10000
394902,10/31/2020,10000
394902,11/30/2020,10000
394902,12/31/2020,10000
394902,1/31/2021,10000
394902,2/28/2021,
394902,3/31/2021,24000
394902,4/30/2021,25000
394902,5/31/2021,25000
394902,6/30/2021,25000
394902,7/31/2021,20000
394902,8/31/2021,20000
394902,9/30/2021,15000
394902,10/31/2021,16000
394902,11/30/2021,15000
394902,12/31/2021,15000
394902,1/31/2022,15000
394902,2/28/2022,20250.5
394902,3/31/2022,24300
394902,4/30/2022,20000
394902,5/31/2022,20000
394902,6/30/2022,20000
394902,7/31/2022,20000
394902,8/31/2022,19600
394902,9/30/2022,16000
